Name of restaurant,City,Countty Code,Day of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
3 Bro's Kabab House,Houston,Houston,6,11,00,22,00
3 Greeks Grill,Long Island City,Long Island City,0,11,00,22,00
3 Greeks Grill,Long Island City,Long Island City,1,11,00,22,00
3 Greeks Grill,Long Island City,Long Island City,2,11,00,22,00
3 Greeks Grill,Long Island City,Long Island City,3,11,00,22,00
3 Greeks Grill,Long Island City,Long Island City,4,11,00,22,00
3 Greeks Grill,Long Island City,Long Island City,5,11,00,22,00
3 Greeks Grill,Long Island City,Long Island City,6,11,00,21,00
3 Wise Monkeys Pub,Sydney,Sydney,0,10,00,04,00
3 Wise Monkeys Pub,Sydney,Sydney,1,10,00,04,00
3 Wise Monkeys Pub,Sydney,Sydney,2,10,00,04,00
3 Wise Monkeys Pub,Sydney,Sydney,3,10,00,04,00
3 Wise Monkeys Pub,Sydney,Sydney,4,10,00,05,00
3 Wise Monkeys Pub,Sydney,Sydney,5,10,00,05,00
3 Wise Monkeys Pub,Sydney,Sydney,6,10,00,04,00
32 Shea,Phoenix,Phoenix,0,06,00,22,00
32 Shea,Phoenix,Phoenix,1,06,00,22,00
32 Shea,Phoenix,Phoenix,2,06,00,22,00
32 Shea,Phoenix,Phoenix,3,06,00,22,00
32 Shea,Phoenix,Phoenix,4,06,00,22,00
32 Shea,Phoenix,Phoenix,5,07,00,22,00
32 Shea,Phoenix,Phoenix,6,07,00,14,00
360 Bar and Restaurant,Sydney,Sydney,0,12,00,14,30
360 Bar and Restaurant,Sydney,Sydney,0,16,30,23,00
360 Bar and Restaurant,Sydney,Sydney,1,12,00,14,30
360 Bar and Restaurant,Sydney,Sydney,1,16,30,23,00
360 Bar and Restaurant,Sydney,Sydney,2,12,00,14,30
360 Bar and Restaurant,Sydney,Sydney,2,16,30,23,00
360 Bar and Restaurant,Sydney,Sydney,3,12,00,14,30
360 Bar and Restaurant,Sydney,Sydney,3,16,30,23,00
360 Bar and Restaurant,Sydney,Sydney,4,12,00,14,30
360 Bar and Restaurant,Sydney,Sydney,4,16,30,00,00
360 Bar and Restaurant,Sydney,Sydney,5,16,30,00,00
360 Bar and Restaurant,Sydney,Sydney,6,16,30,00,00
38 Espresso,Kingston,Kingston,0,07,00,15,00
38 Espresso,Kingston,Kingston,1,07,00,15,00
38 Espresso,Kingston,Kingston,2,07,00,15,00
38 Espresso,Kingston,Kingston,3,07,00,15,00
38 Espresso,Kingston,Kingston,4,07,00,15,00
38 Espresso,Kingston,Kingston,5,07,00,15,00
38 Espresso,Kingston,Kingston,6,08,00,15,00
+39 Pizzeria,Melbourne,Melbourne,0,12,00,15,00
+39 Pizzeria,Melbourne,Melbourne,0,17,00,21,30
+39 Pizzeria,Melbourne,Melbourne,1,12,00,15,00
+39 Pizzeria,Melbourne,Melbourne,1,17,00,21,30
+39 Pizzeria,Melbourne,Melbourne,2,12,00,15,00
+39 Pizzeria,Melbourne,Melbourne,2,17,00,21,30
+39 Pizzeria,Melbourne,Melbourne,3,12,00,15,00
+39 Pizzeria,Melbourne,Melbourne,3,17,00,21,30
+39 Pizzeria,Melbourne,Melbourne,4,12,00,22,00
+39 Pizzeria,Melbourne,Melbourne,5,12,00,22,00
+39 Pizzeria,Melbourne,Melbourne,6,12,00,21,30
3rd Cousin,San Francisco,San Francisco,1,17,30,22,00
3rd Cousin,San Francisco,San Francisco,2,17,30,22,00
3rd Cousin,San Francisco,San Francisco,3,17,30,22,00
3rd Cousin,San Francisco,San Francisco,4,17,30,22,00
3rd Cousin,San Francisco,San Francisco,5,17,30,22,00
45 Jermyn St,London,London,0,07,00,23,30
45 Jermyn St,London,London,1,07,00,23,30
45 Jermyn St,London,London,2,07,00,23,30
45 Jermyn St,London,London,3,07,00,23,30
45 Jermyn St,London,London,4,07,00,23,30
45 Jermyn St,London,London,5,08,00,23,30
45 Jermyn St,London,London,6,08,00,18,00
